SOC,Silt,Sand,Clay
11,16,65,20
9,15,66,18
8,15,57,28
13,17,51,32
9,17,66,17
13,15,59,26
17,16,60,24
17,18,45,37
14,12,67,21
13,13,62,24
13,11,59,30
13,15,63,22
10,12,69,19
16,15,60,26
8,14,60,26
14,18,58,24
15,14,67,19
12,17,45,38
12,10,68,22
16,17,64,20
14,18,61,21
12,14,68,18
13,14,65,21
12,12,64,23
15,17,62,22
15,19,58,23
11,14,68,18
10,16,63,21
12,15,64,21
14,12,65,23
10,10,63,27
16,18,59,23
12,15,45,40
14,13,65,22
14,12,65,23
20,17,50,33
12,15,65,20
12,11,68,20
11,12,62,26
14,14,61,26
19,13,61,26
14,12,67,20
11,11,64,25
11,12,68,21
15,15,61,24
15,12,64,23
14,13,63,24
14,12,60,28
13,13,65,22
16,13,61,26
12,14,62,23
13,12,68,20
10,14,67,19
16,13,68,19
13,15,61,24
10,17,59,24
11,14,65,22
10,12,65,24
11,15,61,24
13,11,69,20
14,19,60,21
10,16,66,19
17,16,47,37
8,13,68,19
13,12,61,27
13,12,64,24
12,14,65,21
14,12,56,33
13,10,58,32
11,14,58,28
15,13,53,34
10,14,55,31
10,12,58,30
11,15,69,15
17,15,60,25
15,18,60,22
13,15,64,21
10,13,69,18
9,14,67,19
15,15,62,23
18,14,60,26
16,16,60,24
11,12,65,23
9,14,67,20
12,15,66,18
14,12,59,29
14,18,59,23
7,13,62,24
11,12,67,20
16,17,60,23
11,16,63,21
17,11,53,35
9,13,70,17
12,15,63,22
12,15,61,24
11,8,62,29
14,13,64,23
11,13,67,20
9,16,60,24
12,13,60,28
18,14,64,22
14,11,67,21
10,16,67,18
12,13,65,22
14,11,66,23
16,18,57,25
15,14,67,19
12,18,58,25
15,16,45,39
14,14,64,22
14,15,54,31
16,16,62,22
7,10,70,20
14,15,49,36
15,15,62,23
7,10,68,22
17,15,59,26
12,14,69,17
11,18,60,22
17,13,68,19
17,18,61,21
16,14,57,29
10,13,66,21
10,18,62,20
16,17,60,23
13,17,60,23
15,20,57,23
8,10,69,21
15,14,57,29
11,16,68,16
13,13,67,20
14,16,54,30
17,15,65,21
12,13,66,21
10,16,66,19
10,15,65,20
13,11,57,32
14,17,62,21
10,17,48,35
14,20,58,23
11,14,66,20
12,15,51,35
13,17,60,22
14,16,63,21
10,11,63,26
11,12,70,19
12,15,63,23
13,16,63,21
15,15,62,23
11,14,65,21
7,15,66,19
13,17,62,21
12,15,63,22
14,15,65,20
11,10,73,16
10,14,67,19
14,14,43,42
15,14,66,20
12,18,59,23
14,13,59,29
15,15,62,23
10,10,69,21
9,12,62,26
14,13,59,28
13,19,57,24
14,9,65,25
15,13,65,23
16,15,51,34
15,17,59,24
13,15,60,24
13,14,65,21
12,12,66,22
13,16,61,23
12,17,60,23
11,12,67,20
11,14,68,18
12,14,68,18
13,16,61,23
14,15,58,27
13,14,65,22
13,13,66,21
11,13,65,21
11,15,67,18
9,16,66,19
13,17,61,21
11,13,67,20
11,14,66,20
8,14,68,18
16,16,65,19
13,14,66,20
14,13,59,27
10,11,67,22
10,12,74,15
12,15,62,23
13,13,67,20
16,16,64,20
12,13,65,22
19,13,59,28
13,14,51,35
12,16,52,32
14,18,57,26
12,11,65,24
12,13,47,40
12,12,53,35
11,10,67,23
15,11,62,26
14,11,69,20
16,16,65,19
15,13,67,19
11,12,62,26
16,13,57,30
10,17,65,19
13,14,64,21
12,12,65,22
12,13,65,22
9,11,71,18
14,17,48,35
12,13,59,28
11,14,64,22
13,13,68,18
14,14,58,28
13,15,66,19
11,17,63,21
12,14,64,22
18,14,59,27
16,16,61,23
9,15,65,20
13,14,64,21
12,11,69,20
12,18,60,22
17,15,59,26
15,14,64,22
11,21,59,20
17,16,45,39
17,14,59,27
13,13,65,21
11,13,68,18
12,11,59,30
11,14,66,21
11,13,61,26
17,14,50,36
14,17,60,23
17,14,60,26
11,12,60,29
10,12,65,23
18,15,65,20
14,15,58,27
9,14,59,27
15,15,60,25
15,11,60,29
14,16,50,35
10,13,66,21
13,14,66,20
11,15,62,23
14,13,60,27
15,16,42,42
11,14,63,23
15,17,61,22
11,15,65,20
12,11,66,22
13,14,51,35
10,17,62,21
15,14,61,25
15,21,46,33
16,18,60,22
18,18,61,21
14,22,44,34
14,14,56,30
16,18,59,23
17,17,49,34
9,14,61,25
13,18,62,21
14,11,64,25
10,14,58,28
9,14,67,19
10,14,69,17
18,18,59,23
9,14,63,23
14,16,61,23
12,16,61,23
14,15,62,23
9,10,69,21
11,12,68,20
14,14,67,19
18,13,60,27
12,12,65,23
12,11,58,32
11,17,61,22
13,16,63,21
12,15,59,26
13,15,59,26
18,16,64,20
12,14,60,26
13,15,65,21
12,13,69,18
15,15,65,20
12,14,63,23
14,12,62,26
12,14,63,23
14,13,65,22
10,19,61,19
9,15,67,18
9,13,68,18
15,11,56,33
12,15,49,36
13,15,58,27
13,13,62,25
13,17,60,23
19,14,59,26
14,12,69,19
12,13,66,20
12,12,68,20
11,13,65,22
10,15,63,21
13,14,63,23
14,14,63,23
17,15,63,22
16,17,63,20
12,14,67,19
19,21,57,22
17,19,56,25
11,12,68,20
19,20,55,25
16,14,57,29
10,16,69,16
14,17,59,24
15,19,55,26
9,14,65,21
17,12,65,23
15,21,53,26
11,13,66,21
16,16,63,20
13,11,55,33
14,15,62,23
11,14,70,15
13,15,65,20
13,15,61,24
18,20,58,21
12,15,64,21
13,13,65,22
14,15,61,24
16,17,60,22
10,12,67,21
16,15,62,23
13,16,45,39
16,14,63,23
10,16,65,18
15,12,54,34
13,13,66,21
13,14,64,22
11,12,66,22
16,14,61,25
13,16,61,23
17,15,66,18
11,12,63,25
14,19,54,27
10,17,59,23
13,16,68,17
